raw_text,aspectTerms,aspectCategories
"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.","[{'term': 'mousepad', 'polarity': 'neutral'}, {'term': 'keys', 'polarity': 'neutral'}, {'term': 'casing', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"  I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found.","[{'term': 'battery', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.","[{'term': 'battery', 'polarity': 'negative'}, {'term': 'charge', 'polarity': 'negative'}, {'term': 'charge', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
  The machine is slow to boot up and occasionally crashes completely.,"[{'term': 'boot up', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
  They replaced my hard drive as well as my mother board.,"[{'term': 'hard drive', 'polarity': 'neutral'}, {'term': 'mother board', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 After the bad experience with this computer went back to compaq.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 By this time I was regretting ever SEEING this machine on the shelf!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 First it burned or fused the power adapter plug.,"[{'term': 'power adapter plug', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" For one, I noticed that from turning on my mac to logging on only took about 25 seconds.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" His language was so bad I swore I was taking the turing test, and it was failing.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 However I dealt with this problem for over a year and it was more of a hastle then I have EVER had with anything.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,"[{'term': 'warrenty', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I found this laptop on sale for under 6000 at Best Buy which was a great deal!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I managed to comply with these too and now have to wait and see if they can find another way to screw me.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I should have realized that trouble was brewing .,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I took the computer back in yet again except this time they kept it to send into their Geek Squad headquarters.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I took the computer into Best Buy where I purchased it and they kept it over night to study it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.","[{'term': 'warrenty', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I was very excited because this was my first personal computer and I was purchasing it with my OWN money I had recieved from graduation presents.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 I'll rather be out of date then spend more money on toshiba.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" It lasted for many years of travel, kids and abuse and if I fired it up today, it would work.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" Now, as easy as it is to use, and I do think it is a great STARTER laptop.","[{'term': 'use', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 Problem fixed which is great but there went another two weeks without my laptop at school.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 Remember to do your research first before consider buying a toshiba product.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 So far it has been five months since the last problem was fixed and I am PRAYING it has finally stopped.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 Sometimes the screen even goes black on this computer.,"[{'term': 'screen', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" Stupidly, mind-numbingly slow--then I found it can only be loaded with 2GB *maximum*.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 This thing is a lemon.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 Toshiba is aware of the issue but unless the extended warranty is bought Toshiba will do nothing about it.,"[{'term': 'extended warrenty', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" Unless you don't care how long it takes to get going, find something else.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.","[{'term': 'size', 'polarity': 'neutral'}, {'term': 'software', 'polarity': 'neutral'}, {'term': 'hardware', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?  Probably not ever again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.","[{'term': 'Vista', 'polarity': 'negative'}, {'term': 'Adobe Flash player', 'polarity': 'negative'}, {'term': 'Internet Explore', 'polarity': 'negative'}, {'term': 'Windows update', 'polarity': 'negative'}, {'term': 'update', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 When I took it back to Best Buy I asked them if they were seriously trying to drive me insane!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" When the computer has been on for several minutes, it will occasionaly just go off by itself.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
 i have tried to charge on different batteries with no luck.,"[{'term': 'batteries', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.","[{'term': 'warranty', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
" while it was barely a bargin in the begining, i would never purchase another dell and would not recomend the dell brand to others.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
$99 to repair it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"(Beware, their staff could send you back, making you feel that only they know what a computer is.","[{'term': 'staff', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
-they misplaced my laptop for a month.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1.You can not change your desktop background (Windows 7 Starter does NOT support that function).,"[{'term': 'desktop background', 'polarity': 'negative'}, {'term': ""window's 7 starter"", 'polarity': 'negative'}, {'term': 'function', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1st time they got it working the next 5 months they had me send it in.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2) Blue screen the first month.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"A coupla months later, they change my hard drive.","[{'term': 'hard drive', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
A very slow laptop.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Adjust the sensitivity since it's not that responsive to start with.,"[{'term': 'sensitivity', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"After paying over $1000 for this computer, it was not worth it.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only online.","[{'term': 'interface device', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"After shelling out several hundred dollars for this service, it is frustrating that you cannot get help after hours.","[{'term': 'service', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
After that the said it was under warranty.,"[{'term': 'warranty', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
After the warranty expired the hard drive went bad and it would have cost more to fix than to replace.,"[{'term': 'warrenty', 'polarity': 'neutral'}, {'term': 'hard drive', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Again I sent it back, and they replaced the motherboard and some fan inside.","[{'term': 'motherboard', 'polarity': 'neutral'}, {'term': 'fan', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Again, I sent it off to Acer, by this time they were paying for me to send it to them and everything, but it was still inconvenient because of my classes and my communication with my fiance.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
All I will say now is that it was over two grand less expensive and much better quality than my Vaio.,"[{'term': 'quality', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"All in all, a great item highly recommend it.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Almost 4 years ago I purchased what was then the current, up-to-date HP Pavilion--If I remember correctly, it was the dv 1300 t.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Also slightly loud when the fan was running.,"[{'term': 'fan', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Also, HDD is secured inside using rails, and there is only one set on the main hard drive.","[{'term': 'HDD', 'polarity': 'positive'}, {'term': 'rails', 'polarity': 'neutral'}, {'term': 'hard drive', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Also, I have had a lot of trouble with the shift key to move to other lines.","[{'term': 'shift key', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Also, I have had alot of trouble with the keys sticking and will not type correctly.","[{'term': 'keys', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Also, because of the size and consistency of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.","[{'term': 'size', 'polarity': 'negative'}, {'term': 'consistancy', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
